bls302_code,name_de,name_en,kcal_100g,water_g_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,sodium_mg_100g
H750100,Bohnen dick (Saubohnen) reif roh,Broad beans ripe raw,234,10.845,26.1,1.8,27.3,27.6,11
H750101,Bohnen dick (Saubohnen) reif roh mit Küchenabfall,Broad beans ripe raw whole,229,10.629,25.578,1.764,26.754,27.048,11
H750122,Bohnen dick (Saubohnen) reif roh gegart,Broad beans ripe raw cooked,104,60.262,11.78,0.829,11.944,12.711,4
H750132,Bohnen dick (Saubohnen) reif gekocht,Broad beans ripe boiled,104,60.262,11.78,0.829,11.944,12.711,4
H750200,Bohnen dick (Saubohnen) tiefgefroren,Broad beans deep-frozen,232,10.6,26.316,1.815,26.683,28.396,9
H750232,Bohnen dick (Saubohnen) tiefgefroren gekocht,Broad beans deep-frozen boiled,103,60.119,11.872,0.836,11.669,13.072,3
H750242,Bohnen dick (Saubohnen) tiefgefroren geschmort (zubereitet ohne Fett),Broad beans deep-frozen braised (prepared without fat),106,59.363,11.962,0.825,12.129,12.907,4
H750400,Bohnen dick (Saubohnen) reif Mehl,Broad beans ripe flour,255,11.824,28.456,1.962,29.765,21.064,12
H750900,"Bohnen dick (Saubohnen) reif Konserve, nicht abgetropft",Broad beans ripe canned undrained,58,77.312,6.493,0.448,6.791,6.866,197
H750902,Bohnen dick (Saubohnen) reif Konserve abgetropft,Broad beans ripe canned drained,99,61.118,11.054,0.763,11.561,12.078,261
H750922,Bohnen dick reif Konserve gegart abgetropft,Broad beans ripe canned cooked drained,57,77.988,6.419,0.452,6.508,6.926,149
H760022,Sojabohnen reif gegart,Soya beans ripe cooked,147,59.754,15.194,8.32,2.747,10.094,1
H760100,Sojabohnen reif roh,Soya beans ripe raw,323,9.995,33.73,18.1,6.29,21.96,4
H760101,Sojabohnen reif roh mit Küchenabfall,Soya beans ripe raw whole,268,8.295,27.996,15.023,5.221,18.227,3
H760122,Sojabohnen reif roh gegart,Soya beans ripe raw cooked,147,59.754,15.194,8.32,2.747,10.094,1
H760200,Sojabohne tiefgefroren,Soya bean deep-frozen,324,9.726,33.857,18.168,6.12,22.493,3
H760300,Sojabohnen reif Mehl,Soya beans ripe flour,360,12.533,40.827,20.6,3.1,18.54,4
H760400,Sojabohnenmehl,Soya bean flour,360,12.533,40.827,20.6,3.1,18.54,4
H760500,Sojabohne geröstet Pulver (Kinako),Soya bean roasted powder (Kinako),351,9.1,38.4,19.2,6.1,23.0,4
H760600,Sojabohne geröstet,Soya bean roasted,387,0.515,37.0,23.95,6.1,23.0,4
H760900,"Sojabohnen reif Konserve, nicht abgetropft",Soya beans ripe canned undrained,80,77.1,8.391,4.502,1.565,5.463,195
H760902,Sojabohnen reif Konserve abgetropft,Soya beans ripe canned drained,137,60.769,14.297,7.671,2.667,9.618,258
H760922,Sojabohnen reif Konserve gegart abgetropft,Soya beans ripe canned cooked drained,36,89.902,3.751,2.053,0.678,2.492,67
H761400,Sojamehl,Soya flour,360,12.533,40.827,20.6,3.1,18.54,4
H761500,Sojamehl (entfettet) entbittert,Soya flour defatted debittered,232,14.199,47.0,1.22,7.5,24.501,20
H762400,Sojamehl halbfett,Soya flour half fat,270,12.41,45.3,6.7,6.5,23.0,18
H763400,Sojamehl texturiert (VEP),Soya flour textured (TVP),255,8.999,53.0,1.0,7.5,24.501,60
H764400,Sojamehl vollfett,Soya flour full fat,360,12.533,40.827,20.6,3.1,18.54,4
H765000,Sojaeiweiß texturiert (TVP),Soya protein textured (TVP),245,12.89,50.0,1.5,7.0,24.0,60
H765032,Sojaeiweiß texturiert (TVP) gekocht,Soya protein textured (TVP) boiled,110,61.165,22.553,0.69,3.061,11.046,21
H765082,Sojaeiweiß texturiert (TVP) gebraten (zubereitet ohne Fett),Soya protein textured (TVP) fried (prepared without fat),246,11.913,50.059,1.54,7.188,24.645,62
H765200,Sojaeiweiß texturiert (TVP) tiefgefroren,Soya protein textured (TVP) deep-frozen,245,12.564,50.273,1.508,6.823,24.623,50
H765282,Sojaeiweiß texturiert (TVP) tiefgefroren gebraten (zubereitet ohne Fett),Soya protein textured (TVP) deep-frozen fried (prepared without fat),246,11.607,50.316,1.548,7.004,25.276,51
H765400,Sojaeiweiß texturiert (TVP) getrocknet,Soya protein textured (TVP) dried,273,2.875,55.749,1.672,7.805,26.759,67
H765432,Sojaeiweiß texturiert (TVP) getrocknet gekocht,Soya protein textured (TVP) dried boiled,123,56.637,25.182,0.771,3.418,12.334,23
H765600,Sojaeiweiß texturiert (TVP) pasteurisiert,Soya protein textured (TVP) pasteurised,245,12.89,50.0,1.5,7.0,24.0,60
H765632,Sojaeiweiß texturiert (TVP) pasteurisiert gekocht,Soya protein textured (TVP) pasteurised boiled,110,61.165,22.553,0.69,3.061,11.046,21
H765662,Sojaeiweiß texturiert (TVP) pasteurisiert gebacken,Soya protein textured (TVP) pasteurised baked,251,10.585,51.323,1.54,7.185,24.635,62
H766000,Sojaschrot,Soya beans ground,390,6.0,43.0,23.0,3.0,20.0,4
H767000,Sojaspeisekleie,Soya bean bran,111,10.89,13.0,2.0,10.0,60.0,60
H768000,Sojamark,Soya bean pulp,215,16.514,41.627,1.186,8.624,21.863,1961
H780000,Mungobohnen reif,Mungo beans (black grams) ripe,274,8.83,23.1,1.2,41.5,17.3,9
H780100,Mungobohnen reif roh,Mungo beans (black grams) ripe raw,274,8.83,23.1,1.2,41.5,17.3,9
H780182,Mungobohnen reif gebraten (zubereitet ohne Fett),Mungo beans (black grams) ripe fried (prepared without fat),276,8.068,22.87,1.219,42.14,17.567,9
H780200,Mungobohne tiefgefroren,Mungo beans (black grams) ripe deep-frozen,272,8.683,23.432,1.217,40.807,17.907,8
H780900,"Mungobohnen reif Konserve, nicht abgetropft",Mungo beans (black grams) ripe canned undrained,180,39.587,15.155,0.787,27.227,11.35,238
H780902,Mungobohnen reif Konserve abgetropft,Mungo beans (black grams) ripe canned drained,274,8.83,23.1,1.2,41.5,17.3,9
H780922,Mungobohnen reif Konserve abgetropft aufgewärmt,Mungo beans (black grams) ripe canned drained heated,273,9.164,23.492,1.245,40.913,17.953,7
H790000,Vegetarische Lebensmittel,Vegetarian food,387,5.5,37.0,23.95,6.1,23.0,4
H810000,Studentenfutter mit Erdnüssen,Nuts and raisin mix with peanuts,504,7.719,16.834,34.955,30.195,6.798,15
H820000,Frucht-Leinsaat,Fruit linseed mix,428,6.146,13.959,22.716,40.092,10.481,491
H830100,Haselnussmark ungezuckert,Hazelnut pulp unsweetened,665,4.359,16.642,64.825,6.114,5.52,0
H830300,Pistazienmark ungezuckert,Pistachio pulp unsweetened,607,2.799,21.492,53.312,11.933,7.673,6
H840000,Sojaerzeugnisse,Soya products,387,5.5,37.0,23.95,6.1,23.0,4
H840100,Sojasoße,Soy sauce,113,69.459,10.31,5.172,6.176,4.728,1168
H840200,Sojasoße weiße,Soy sauce white,113,69.459,10.31,5.172,6.176,4.728,1168
H841000,Sojadrink/Sojadrinkprodukte,Soya drink/soya drink products,27,92.5,3.46,0.7,1.62,1.1,19
H841100,Sojadrink flüssig,Soya drink liquid,27,92.5,3.46,0.7,1.62,1.1,19
H841300,Sojaeiweißkonzentrat,Soya protein concentrate,243,18.01,58.13,0.46,0.7,18.0,3
H841500,Sojadrink Pulver,Soya drink powder,382,0.283,41.797,20.3,8.0,20.0,20
H841800,Sojadrink milchsauer,Soya drink lactic acid-fermented,32,87.515,3.399,1.499,0.7,2.0,820
H842000,Sojadrink angereichert mit Calcium und Vitaminen (leicht gesüßt),Soya drink fortified with calcium and vitamins (lightly sweetened),42,90.778,3.3,1.902,2.8,0.6,50
H842100,Sojadrink mit Vanillegeschmack angereichert mit Calcium und Vitaminen,Soya drink with vanilla flavour fortified with calcium and vitamins,61,85.777,3.3,1.803,7.9,0.6,50
H842200,Sojadrink mit Erdbeergeschmack angereichert mit Calcium und Vitaminen,Soya drink with strawberry flavour fortified with calcium and vitamins,64,84.782,3.0,1.698,9.0,0.9,50
H842300,Sojadrink mit Schokoladegeschmack angereichert mit Calcium und Vitaminen,Soya drink with chocolate flavour fortified with calcium and vitamins,69,83.477,3.3,1.803,9.8,1.0,50
H843000,Sojadessert mit Vanillegeschmack angereichert mit Calcium,Soya dessert with vanilla flavour fortified with calcium,80,81.277,3.1,1.803,12.7,0.5,50
H843100,Sojadessert mit Schokoladegeschmack angereichert mit Calcium,Soya dessert with chocolate flavour fortified with calcium,88,79.282,3.0,2.298,13.6,1.2,60
H844000,Biologische pflanzliche Soja-Joghurtalternative,Organic vegetable soya alternative to yogurt,27,92.5,3.46,0.7,1.62,1.1,19
H844200,Sojajoghurt Vanillegeschmack angereichert mit Calcium und Vitaminen probiotisch,Soya alternative to yogurt vanilla flavour fortified with calcium and vitamins probiotic,73,83.181,3.7,2.199,9.6,0.7,50
H844300,Sojajoghurt Erdbeergeschmack angereichert mit Calcium und Vitaminen probiotisch,Soya alternative to yogurt strawberry flavour fortified with calcium and vitamins probiotic,75,82.581,3.8,2.199,10.0,0.8,50
H845000,Sojacreme (zum Kochen und Verfeinern),Soya alternative to cream (for boiling and refining),164,78.282,2.0,16.998,1.5,0.6,50
H850000,Yuba,Yuba (Tofu skin),441,7.222,52.3,24.1,3.8,8.0,80
H850400,Yuba getrocknet,Yuba (Tofu skin) dried,441,7.222,52.3,24.1,3.8,8.0,80
H860000,Tofu,Tofu,124,73.4,15.51,5.63,2.83,1.3,0
H861000,Tofu fest,Tofu firm,124,73.4,15.51,5.63,2.83,1.3,0
H861022,Tofu fest gegart,Tofu firm cooked,128,72.707,16.011,5.87,2.877,1.356,0
H861032,Tofu fest gekocht,Tofu firm boiled,128,73.031,15.919,5.897,2.816,1.362,0
H861042,Tofu fest geschmort (zubereitet ohne Fett),Tofu firm braised (prepared without fat),129,72.386,16.101,5.844,2.938,1.35,0
H861062,Tofu fest gebacken,Tofu firm baked,146,68.822,18.179,6.599,3.317,1.524,0
H861072,Tofu fest geröstet,Tofu firm roasted,146,68.822,18.179,6.599,3.317,1.524,0
H861082,Tofu fest gebraten (zubereitet ohne Fett),Tofu firm fried (prepared without fat),133,71.609,16.393,6.103,3.068,1.409,0
H861100,Tofu Seiden,Tofu silken,52,89.948,5.504,3.2,0.36,0.4,23
H861600,Tofu fest pasteurisiert,Tofu firm pasteurised,124,73.4,15.51,5.63,2.83,1.3,0
H861682,Tofu fest pasteurisiert gebraten (zubereitet ohne Fett),Tofu firm pasteurised fried (prepared without fat),133,71.609,16.393,6.103,3.068,1.409,0
H861800,"Tofu fest gesäuert, nicht abgetropft",Tofu firm pickled undrained,63,85.945,7.741,2.802,1.442,0.647,184
H861802,Tofu fest gesäuert abgetropft,Tofu firm pickled drained,63,85.945,7.741,2.802,1.442,0.647,184
H861832,Tofu fest gesäuert abgetropft gekocht,Tofu firm pickled drained boiled,65,85.876,7.979,2.947,1.441,0.681,145
H861900,"Tofu fest Konserve, nicht abgetropft",Tofu firm canned undrained,124,73.4,15.51,5.63,2.83,1.3,0
H861902,Tofu fest Konserve abgetropft,Tofu firm canned drained,124,73.4,15.51,5.63,2.83,1.3,0
H861932,Tofu fest Konserve abgetropft gekocht,Tofu firm canned drained boiled,128,73.031,15.919,5.897,2.816,1.362,0
H861982,Tofu fest Konserve abgetropft gebraten (zubereitet ohne Fett),Tofu firm canned drained fried (prepared without fat),133,71.609,16.393,6.103,3.068,1.409,0
H862000,Fermentierte Sojaprodukte,Fermented soya products,77,85.32,8.08,4.78,0.5,0.5,7
H862100,Miso,Miso,115,55.52,10.5,6.07,4.7,10.5,2950
H862200,Miso Sojabohne,Miso soya bean,115,55.52,10.5,6.07,4.7,10.5,2950
H862300,Tempeh,Tempeh,152,62.77,18.95,7.68,1.8,6.5,8
H862400,Natto,Natto,176,52.63,17.72,11.0,1.75,15.0,1
H880000,Nuss- und Ölsamenzubereitungen,Nut and oilseed products,578,3.219,26.277,48.507,10.611,8.086,17
H881000,Nuss- und Ölsamenzubereitungen pur,Nut and oilseed products pure,617,2.97,17.56,49.41,26.8,0.76,15
H881200,Erdnussmus gesalzen,Peanut puree salted,566,3.125,25.226,47.067,11.684,7.763,776
H881300,Nussmus gesalzen,Nut puree salted,649,4.262,15.969,62.705,7.364,5.296,760
H881400,Mandelmus gesalzen,Almond puree salted,596,4.544,23.884,53.22,7.142,7.907,762
H881700,Ölsamenmus gesalzen,Oilseed puree salted,580,1.226,18.874,46.321,23.097,4.723,763
H881800,Ölsamenmus,Oilseed puree,593,1.24,19.66,47.73,22.5,4.92,3
H900900,Bohnen weiß dick in Tomatensoße Konserve,Haricot beans white large in tomato sauce canned,77,80.035,4.125,1.656,11.183,1.83,182
H900932,Bohnen weiß dick in Tomatensoße Konserve gekocht,Haricot beans white large in tomato sauce canned boiled,79,80.015,4.254,1.743,11.18,1.926,144
H901900,Kidney-Bohnen in Tomatensoße Konserve,Kidney beans in tomato sauce canned,155,49.755,11.177,2.077,22.392,10.377,177
H910200,Bratlinge vegetarisch tiefgefroren,Vegetarian burgers deep-frozen,142,69.573,9.037,8.22,7.946,3.492,332
H921900,Ragout mit Soße Sojabasis Konserve,Ragout with sauce soya-based canned,78,78.103,9.264,2.418,3.738,4.704,51
H922900,Gulasch mit Soße Sojabasis Konserve,Goulash with sauce soya-based canned,100,79.844,5.017,6.409,5.669,1.058,598
H923900,Haschee mit Soße Sojabasis Konserve,Hash with sauce soya-based canned,80,76.354,10.016,2.391,4.243,5.454,128
H924900,Sojafleisch mit Soße Konserve,Soya meat surrogate with sauce canned,190,68.094,13.513,14.707,1.237,0.389,514
H925900,Gulasch in Tomatensoße Sojabasis Konserve,Goulash in tomato sauce soya-based canned,102,73.069,9.29,4.27,6.35,4.067,562
H926100,Sojabratlinge (nass),Soya burgers (moist),341,37.526,19.432,25.725,8.339,5.994,571
H926200,Sojaklöße (nass),Soya dumplings (moist),341,37.526,19.432,25.725,8.339,5.994,571
H926300,Sojabouletten (nass),Soya rissole (moist),341,37.526,19.432,25.725,8.339,5.994,571
H927000,Sojafleischzubereitung Trockenprodukt,Soya meat surrogate dried product,284,13.208,34.418,1.508,32.166,13.788,793
H927100,Sojafleisch mit Gewürzen Trockenprodukt,Soya meat surrogate with spices dried product,284,13.208,34.418,1.508,32.166,13.788,793
H927200,Sojaschnitzel Trockenprodukt,Soya schnitzel surrogate dried product,284,13.208,34.418,1.508,32.166,13.788,793
H927300,Sojasteak Trockenprodukt,Soya steak surrogate dried product,284,13.208,34.418,1.508,32.166,13.788,793
H930000,Sojaaufschnitt,Soya cold cuts,262,56.364,14.758,21.662,2.513,2.122,503
H940000,Sojapaste,Soya bean paste,68,74.162,13.234,0.375,2.7,6.919,387
H950000,Tofu roh,Tofu raw,77,85.32,8.08,4.78,0.5,0.5,7
H980000,Hülsenfruchtgerichte Konservensuppen,Legume dishes canned soups,61,84.043,3.314,2.578,6.021,1.894,171
H980200,Bohnensuppe serbisch Konserve,Bean soup Serbian canned,61,84.043,3.314,2.578,6.021,1.894,171
K100022,Kartoffeln gegart,Potatoes cooked,70,80.438,1.896,0.013,14.997,1.19,3
K110022,Kartoffeln geschält gegart,Potatoes peeled cooked,70,80.438,1.896,0.013,14.997,1.19,3
K110100,Kartoffeln geschält roh,Potatoes peeled raw,73,79.57,1.94,0.014,15.616,1.23,3
K110122,Kartoffeln geschält roh gegart,Potatoes peeled raw cooked,70,80.438,1.896,0.013,14.997,1.19,3
K110132,Kartoffeln geschält gekocht,Potatoes peeled boiled,87,76.3,2.0,0.022,18.95,1.56,3
K110142,Kartoffeln geschält geschmort (zubereitet ohne Fett),Potatoes peeled braised (prepared without fat),73,79.57,1.94,0.014,15.616,1.23,3
K110143,Kartoffeln geschält druckgedämpft,Potatoes peeled pressure cooked,85,76.63,2.08,0.04,18.291,1.7,2
K110162,Kartoffeln geschält gebacken,Potatoes peeled baked,87,75.704,2.307,0.017,18.571,1.463,4
K110182,Kartoffeln geschält gebraten (zubereitet ohne Fett),Potatoes peeled fried (prepared without fat),87,75.704,2.307,0.017,18.571,1.463,4
K110192,Kartoffeln geschält frittiert (zubereitet ohne Fett),Potatoes peeled deep-fried (prepared without fat),87,75.704,2.307,0.017,18.571,1.463,4
K110200,Kartoffeln geschält tiefgefroren,Potatoes peeled deep-frozen,77,79.016,2.028,0.015,16.324,1.286,2
K110262,Kartoffeln geschält tiefgefroren gebacken,Potatoes peeled deep-frozen baked,91,75.077,2.409,0.018,19.388,1.527,2
K110292,Kartoffeln geschält tiefgefroren frittiert (zubereitet ohne Fett),Potatoes peeled deep-frozen deep-fried (prepared without fat),91,75.077,2.409,0.018,19.388,1.527,2
K110400,Kartoffeln geschält getrocknet,Potatoes peeled dried,337,6.0,8.926,0.064,71.851,5.659,16
K110422,Kartoffeln geschält getrocknet gegart,Potatoes peeled dried cooked,88,75.609,2.364,0.017,18.699,1.483,4
K110482,Kartoffeln geschält getrocknet gegart gebraten (zubereitet ohne Fett),Potatoes peeled dried cooked fried (prepared without fat),103,71.265,2.785,0.02,22.03,1.747,5
K110500,Kartoffeln geschält Pulver,Potatoes peeled powder,330,8.0,8.736,0.063,70.322,5.539,16
K110900,"Kartoffeln geschält Konserve, nicht abgetropft",Potatoes peeled canned undrained,48,85.997,1.273,0.009,10.245,0.807,234
K110902,Kartoffeln geschält Konserve abgetropft,Potatoes peeled canned drained,65,80.834,1.816,0.013,13.803,1.19,297
K110922,Kartoffeln geschält Konserve abgetropft gegart,Potatoes peeled canned drained cooked,63,81.705,1.774,0.012,13.254,1.151,270
K110982,Kartoffeln geschält Konserve abgetropft gebraten (zubereitet ohne Fett),Potatoes peeled canned drained fried (prepared without fat),78,77.138,2.166,0.016,16.465,1.419,354
K120024,Kartoffeln ungeschält gegart mit Küchenabfall,Potatoes unpeeled cooked whole,56,64.034,1.513,0.011,11.972,0.95,3
K120100,Kartoffeln ungeschält roh,Potatoes unpeeled raw,73,79.57,1.94,0.014,15.616,1.23,3
K120101,Kartoffeln ungeschält roh mit Küchenabfall,Potatoes unpeeled raw whole,59,63.656,1.552,0.011,12.493,0.984,3
K120124,Kartoffeln ungeschält roh gegart mit Küchenabfall,Potatoes unpeeled raw cooked whole,56,64.034,1.513,0.011,11.972,0.95,3
K120134,Kartoffeln ungeschält gekocht mit Küchenabfall,Potatoes unpeeled boiled whole,71,59.233,2.04,0.11,14.81,1.696,3
K120164,Kartoffeln ungeschält gebacken mit Küchenabfall,Potatoes unpeeled baked whole,86,54.682,2.54,0.11,17.88,3.1,4
K120184,Kartoffeln ungeschält gebraten (zubereitet ohne Fett) mit Küchenabfall,Potatoes unpeeled fried (prepared without fat) whole,59,63.656,1.552,0.011,12.493,0.984,3
K120194,Kartoffeln ungeschält frittiert (zubereitet ohne Fett) mit Küchenabfall,Potatoes unpeeled deep-fried (prepared without fat) whole,59,63.656,1.552,0.011,12.493,0.984,3
K120200,Kartoffeln ungeschält tiefgefroren,Potatoes unpeeled deep-frozen,77,79.016,2.028,0.015,16.324,1.286,2
K120264,Kartoffeln ungeschält tiefgefroren gebacken mit Küchenabfall,Potatoes unpeeled deep-frozen baked whole,61,63.214,1.622,0.012,13.059,1.029,2
K120900,"Kartoffeln ungeschält Konserve, nicht abgetropft",Potatoes unpeeled canned undrained,48,85.997,1.273,0.009,10.245,0.807,234
K120902,Kartoffeln ungeschält Konserve abgetropft,Potatoes unpeeled canned drained,65,80.834,1.816,0.013,13.803,1.19,297
K120934,Kartoffeln ungeschält Konserve gekocht mit Küchenabfall,Potatoes unpeeled canned boiled whole,48,65.435,1.404,0.009,10.109,0.935,194
K130100,Pommes Frites roh,Potato chips raw,73,79.57,1.94,0.014,15.616,1.23,3
K130192,Pommes frites (verzehrsfertig ungesalzen),Potato chips (ready-to-eat unsalted),292,41.412,4.2,14.5,35.7,1.463,6
K130200,Pommes Frites tiefgefroren,Potato chips deep-frozen,77,79.016,2.028,0.015,16.324,1.286,2
K130262,Pommes Frites tiefgefroren gebacken,Potato chips deep-frozen baked,91,75.077,2.409,0.018,19.388,1.527,2
K130292,Pommes Frites tiefgefroren frittiert (zubereitet ohne Fett),Potato chips deep-frozen deep-fried (prepared without fat),91,75.077,2.409,0.018,19.388,1.527,2
K140100,Kartoffelchips roh,Potato crisps raw,73,79.57,1.94,0.014,15.616,1.23,3
K160100,Kartoffelsticks roh,Potato sticks raw,73,79.57,1.94,0.014,15.616,1.23,3
K170100,Kartoffel-Chipsletten roh,Potato crisps stackable raw,73,79.57,1.94,0.014,15.616,1.23,3
K210000,Kartoffeltrockenprodukte,Dehydrated potato products,340,7.703,7.4,0.467,75.32,6.05,138
K213000,Kartoffelbreipulver,Potato purée powder,340,7.703,7.4,0.467,75.32,6.05,138
K230000,Kartoffelstärke Mehl,Potato starch,341,15.646,0.614,0.1,83.1,0.1,8
K230300,Knödelmehl,Potato dumpling flour,328,8.993,6.03,0.227,74.24,5.67,1390
K240100,Trockenkartoffeln Trockenprodukt,Potatoes dehydrated product,340,7.703,7.4,0.467,75.32,6.05,138
K240200,Kartoffelflocken Trockenprodukt,Potato flakes dehydrated product,340,7.703,7.4,0.467,75.32,6.05,138
K240400,Kartoffelkloß Trockenprodukt,Potato dumpling dehydrated product,328,8.993,6.03,0.227,74.24,5.67,1390
K240500,Kartoffelkloß gekocht Trockenprodukt,Potato dumpling dehydrated product boiled,333,9.69,5.76,1.09,73.82,4.38,1200
K241200,Kartoffelkloß tiefgefroren,Potato dumpling deep-frozen,107,72.728,2.55,1.667,19.93,1.548,161
K241232,Kartoffelkloß tiefgefroren gekocht,Potato dumpling deep-frozen boiled,100,74.752,2.49,1.585,18.436,1.535,132
K250300,Knödelpulver halb und halb,Potato dumpling mix half and half,326,9.36,5.43,0.23,74.23,6.25,1190
K260200,Kartoffelpuffer tiefgefroren,Potato pancakes deep-frozen,149,69.477,2.939,7.093,17.814,1.316,75
K260262,Kartoffelpuffer tiefgefroren gebacken,Potato pancakes deep-frozen baked,172,64.552,3.413,8.238,20.689,1.528,87
K260282,Kartoffelpuffer tiefgefroren gebraten (zubereitet ohne Fett),Potato pancakes deep-frozen fried (prepared without fat),172,64.552,3.413,8.238,20.689,1.528,87
K270000,Gnocchi roh,Gnocchi raw,162,58.18,3.88,0.61,34.255,1.84,520
K270022,Gnocchi gedämpft,Gnocchi steamed,152,60.591,3.656,0.575,32.276,1.715,464
K270032,Gnocchi gekocht,Gnocchi boiled,150,60.96,3.64,0.541,31.888,1.93,421
K270062,Gnocchi gekocht gebacken,Gnocchi boiled baked,171,55.539,4.145,0.616,36.316,2.198,480
K270082,Gnocchi gekocht gebraten (zubereitet ohne Fett),Gnocchi boiled fried (prepared without fat),171,55.539,4.145,0.616,36.316,2.198,480
K271000,Gnocchi tiefgefroren,Gnocchi deep-frozen,162,58.18,3.88,0.61,34.255,1.84,520
K271032,Gnocchi tiefgefroren gekocht,Gnocchi deep-frozen boiled,153,60.622,3.841,0.588,32.123,1.85,433
K280100,Kartoffelchips (verzehrsfertig),Potato crisps (ready-to-eat),554,2.25,5.48,39.4,45.11,4.17,450
K280200,Kartoffelsticks (verzehrsfertig),Potato sticks (ready-to-eat),529,0.28,6.5,31.5,55.06,2.0,720
K281200,Kartoffelkroketten energiereduziert tiefgefroren,Potato croquettes calorie reduced deep-frozen,119,69.822,4.138,1.358,21.861,1.667,74
K281262,Kartoffelkroketten energiereduziert tiefgefroren gebacken,Potato croquettes calorie reduced deep-frozen baked,138,64.924,4.81,1.578,25.409,1.938,86
K282200,Kartoffelkroketten tiefgefroren,Potato croquettes deep-frozen,167,65.398,3.909,7.659,20.395,1.555,70
K282262,Kartoffelkroketten tiefgefroren gebacken,Potato croquettes deep-frozen baked,193,60.191,4.497,8.812,23.464,1.789,81
K290100,Kartoffelchips (verzehrsfertig) energiereduziert,Potato crisps (ready-to-eat) calorie reduced,406,3.0,6.3,9.0,74.0,4.2,1000
K310200,Kartoffeltaschen gefüllt mit Camembert tiefgefroren,Potato turnovers filled with Camembert cheese deep-frozen,166,68.624,6.852,9.833,12.145,0.92,86
K310222,Kartoffeltaschen gefüllt mit Camembert tiefgefroren gegart,Potato turnovers filled with Camembert cheese deep-frozen cooked,161,69.62,6.72,9.56,11.705,0.904,79
K310262,Kartoffeltaschen gefüllt mit Camembert tiefgefroren gebacken,Potato turnovers filled with Camembert cheese deep-frozen baked,192,63.633,7.942,11.397,14.077,1.066,100
K310282,Kartoffeltaschen gefüllt mit Camembert tiefgefroren gebraten (zubereitet ohne Fett),Potato turnovers filled with Camembert cheese deep-frozen fried (prepared without fat),192,63.633,7.942,11.397,14.077,1.066,100
K310292,Kartoffeltaschen gefüllt mit Camembert tiefgefroren frittiert (zubereitet ohne Fett),Potato turnovers filled with Camembert cheese deep-frozen deep-fried (prepared without fat),192,63.633,7.942,11.397,14.077,1.066,100
K321900,Kartoffelsuppe Konserve,Potato soup canned,55,87.473,1.124,2.898,5.98,0.911,376
K390000,Fertiggerichte auf Kartoffelbasis Konserve,Ready-made potato-based meals canned,143,67.517,12.574,4.24,13.375,1.12,33
K390100,Gaisburger Marsch Konserve,"Gaisburger Marsch (stew with beef, potatoes and pasta) canned",143,67.517,12.574,4.24,13.375,1.12,33
K390200,Labskaus Konserve,Lobscouse canned,104,77.166,9.619,3.811,7.462,0.709,23
K391200,Kartoffelrösti tiefgefroren,Potato rosti (fried grated potatoes) deep-frozen,145,70.148,2.589,7.058,17.578,1.452,92
K391262,Kartoffelrösti tiefgefroren gebacken,Potato rosti (fried grated potatoes) deep-frozen baked,169,65.275,3.012,8.21,20.447,1.689,107
K391282,Kartoffelrösti tiefgefroren gebraten (zubereitet ohne Fett),Potato rosti (fried grated potatoes) deep-frozen fried (prepared without fat),169,65.275,3.012,8.21,20.447,1.689,107
K400000,Stärkereiche Pflanzenteile,Starchy roots and tubers,79,78.262,2.6,0.1,16.439,0.8,40
K401100,Lotos-Wurzel roh,Lotus root raw,79,78.262,2.6,0.1,16.439,0.8,40
K410000,Maniok (Cassava),Manioc (cassava),137,62.8,1.0,0.23,32.07,2.9,1
K410100,Maniok roh,Manioc (cassava) raw,137,62.8,1.0,0.23,32.07,2.9,1
K410122,Maniok gegart,Manioc (cassava) cooked,133,63.973,0.985,0.225,31.036,2.861,1
K410400,Maniok getrocknet,Manioc (cassava) dried,347,6.0,2.527,0.581,81.037,7.328,2
K410432,Maniok gekocht,Manioc (cassava) boiled,128,65.166,0.986,0.221,29.95,2.904,1
K410500,Maniok Pulver,Manioc (cassava) powder,339,8.001,2.473,0.569,79.313,7.172,2
K420000,Batate (Süßkartoffel),Batata (sweet potato),111,68.94,1.63,0.6,24.08,3.14,4
K420100,Batate roh,Batata (sweet potato) raw,111,68.94,1.63,0.6,24.08,3.14,4
K420122,Batate gegart,Batata (sweet potato) cooked,107,70.017,1.6,0.584,23.233,3.088,4
K420162,Batate gebacken,Batata (sweet potato) baked,129,63.973,1.891,0.696,27.931,3.642,5
K420400,Batate getrocknet,Batata (sweet potato) dried,337,6.0,4.933,1.816,72.875,9.503,13
K430000,Topinambur (Erdartischocke),Jerusalem artichoke,31,78.905,2.44,0.41,4.0,12.07,3
K430100,Topinambur roh,Jerusalem artichoke raw,31,78.905,2.44,0.41,4.0,12.07,3
K430122,Topinambur gegart,Jerusalem artichoke cooked,30,79.625,2.38,0.397,3.835,11.795,3
K430132,Topinambur gekocht,Jerusalem artichoke boiled,29,80.158,2.355,0.385,3.657,11.832,2
K430400,Topinambur getrocknet,Jerusalem artichoke dried,139,5.999,10.873,1.828,17.824,53.784,13
K440000,Yamswurzel,Yam,101,68.61,2.0,0.13,22.4,5.56,10
K440100,Yamswurzel roh,Yam raw,101,68.61,2.0,0.13,22.4,5.56,10
